[2026-08-05T08:42:09.554+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-08-05T08:42:10.934+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090401931845.parquet -> /tmp/minio_downloads/customers_090401931845.parquet
[2026-08-05T08:42:10.952+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090401994043.parquet -> /tmp/minio_downloads/customers_090401994043.parquet
[2026-08-05T08:42:10.969+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090402069924.parquet -> /tmp/minio_downloads/customers_090402069924.parquet
[2026-08-05T08:42:10.984+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090402133350.parquet -> /tmp/minio_downloads/customers_090402133350.parquet
[2026-08-05T08:42:10.999+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090402184633.parquet -> /tmp/minio_downloads/customers_090402184633.parquet
[2026-08-05T08:42:11.013+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090402234780.parquet -> /tmp/minio_downloads/customers_090402234780.parquet
[2026-08-05T08:42:11.027+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090402284973.parquet -> /tmp/minio_downloads/customers_090402284973.parquet
[2026-08-05T08:42:11.041+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090402342610.parquet -> /tmp/minio_downloads/customers_090402342610.parquet
[2026-08-05T08:42:11.054+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090402385711.parquet -> /tmp/minio_downloads/customers_090402385711.parquet
[2026-08-05T08:42:11.068+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090402449594.parquet -> /tmp/minio_downloads/customers_090402449594.parquet
[2026-08-05T08:42:11.081+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090402513017.parquet -> /tmp/minio_downloads/customers_090402513017.parquet
[2026-08-05T08:42:11.099+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090402644591.parquet -> /tmp/minio_downloads/customers_090402644591.parquet
[2026-08-05T08:42:11.113+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090402707127.parquet -> /tmp/minio_downloads/customers_090402707127.parquet
[2026-08-05T08:42:11.127+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090402799962.parquet -> /tmp/minio_downloads/customers_090402799962.parquet
[2026-08-05T08:42:11.142+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090402929400.parquet -> /tmp/minio_downloads/customers_090402929400.parquet
[2026-08-05T08:42:11.156+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090402974349.parquet -> /tmp/minio_downloads/customers_090402974349.parquet
[2026-08-05T08:42:11.169+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090403023880.parquet -> /tmp/minio_downloads/customers_090403023880.parquet
[2026-08-05T08:42:11.183+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090403076220.parquet -> /tmp/minio_downloads/customers_090403076220.parquet
[2026-08-05T08:42:11.197+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090403139454.parquet -> /tmp/minio_downloads/customers_090403139454.parquet
[2026-08-05T08:42:11.214+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090403183405.parquet -> /tmp/minio_downloads/customers_090403183405.parquet
[2026-08-05T08:42:11.252+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090403246298.parquet -> /tmp/minio_downloads/customers_090403246298.parquet
[2026-08-05T08:42:11.283+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090403286232.parquet -> /tmp/minio_downloads/customers_090403286232.parquet
[2026-08-05T08:42:11.297+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090403337856.parquet -> /tmp/minio_downloads/customers_090403337856.parquet
[2026-08-05T08:42:11.311+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090403384511.parquet -> /tmp/minio_downloads/customers_090403384511.parquet
[2026-08-05T08:42:11.325+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090403430840.parquet -> /tmp/minio_downloads/customers_090403430840.parquet
[2026-08-05T08:42:11.339+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090403472396.parquet -> /tmp/minio_downloads/customers_090403472396.parquet
[2026-08-05T08:42:11.353+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090403524071.parquet -> /tmp/minio_downloads/customers_090403524071.parquet
[2026-08-05T08:42:11.368+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090403571705.parquet -> /tmp/minio_downloads/customers_090403571705.parquet
[2026-08-05T08:42:11.382+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090403614708.parquet -> /tmp/minio_downloads/customers_090403614708.parquet
[2026-08-05T08:42:11.396+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090403654848.parquet -> /tmp/minio_downloads/customers_090403654848.parquet
[2026-08-05T08:42:11.411+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090403702724.parquet -> /tmp/minio_downloads/customers_090403702724.parquet
[2026-08-05T08:42:11.425+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090403763292.parquet -> /tmp/minio_downloads/customers_090403763292.parquet
[2026-08-05T08:42:11.441+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090403806078.parquet -> /tmp/minio_downloads/customers_090403806078.parquet
[2026-08-05T08:42:11.455+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090403851544.parquet -> /tmp/minio_downloads/customers_090403851544.parquet
[2026-08-05T08:42:11.470+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090403894193.parquet -> /tmp/minio_downloads/customers_090403894193.parquet
[2026-08-05T08:42:11.484+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090403939509.parquet -> /tmp/minio_downloads/customers_090403939509.parquet
[2026-08-05T08:42:11.500+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090403987646.parquet -> /tmp/minio_downloads/customers_090403987646.parquet
[2026-08-05T08:42:11.515+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090404049607.parquet -> /tmp/minio_downloads/customers_090404049607.parquet
[2026-08-05T08:42:11.530+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090404098181.parquet -> /tmp/minio_downloads/customers_090404098181.parquet
[2026-08-05T08:42:11.544+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090404171962.parquet -> /tmp/minio_downloads/customers_090404171962.parquet
[2026-08-05T08:42:11.559+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090404227529.parquet -> /tmp/minio_downloads/customers_090404227529.parquet
[2026-08-05T08:42:11.573+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090404283728.parquet -> /tmp/minio_downloads/customers_090404283728.parquet
[2026-08-05T08:42:11.587+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090404337621.parquet -> /tmp/minio_downloads/customers_090404337621.parquet
[2026-08-05T08:42:11.601+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090404397305.parquet -> /tmp/minio_downloads/customers_090404397305.parquet
[2026-08-05T08:42:11.614+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090404443612.parquet -> /tmp/minio_downloads/customers_090404443612.parquet
[2026-08-05T08:42:11.628+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090404503420.parquet -> /tmp/minio_downloads/customers_090404503420.parquet
[2026-08-05T08:42:11.642+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090404569754.parquet -> /tmp/minio_downloads/customers_090404569754.parquet
[2026-08-05T08:42:11.656+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090404616505.parquet -> /tmp/minio_downloads/customers_090404616505.parquet
[2026-08-05T08:42:11.672+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090404676784.parquet -> /tmp/minio_downloads/customers_090404676784.parquet
[2026-08-05T08:42:11.687+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090404719565.parquet -> /tmp/minio_downloads/customers_090404719565.parquet
[2026-08-05T08:42:11.702+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090404776580.parquet -> /tmp/minio_downloads/customers_090404776580.parquet
[2026-08-05T08:42:11.716+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090404821131.parquet -> /tmp/minio_downloads/customers_090404821131.parquet
[2026-08-05T08:42:11.730+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090404867684.parquet -> /tmp/minio_downloads/customers_090404867684.parquet
[2026-08-05T08:42:11.746+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090404914078.parquet -> /tmp/minio_downloads/customers_090404914078.parquet
[2026-08-05T08:42:11.761+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090404956516.parquet -> /tmp/minio_downloads/customers_090404956516.parquet
[2026-08-05T08:42:11.779+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090405003694.parquet -> /tmp/minio_downloads/customers_090405003694.parquet
[2026-08-05T08:42:11.799+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090405050878.parquet -> /tmp/minio_downloads/customers_090405050878.parquet
[2026-08-05T08:42:11.817+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090405103797.parquet -> /tmp/minio_downloads/customers_090405103797.parquet
[2026-08-05T08:42:11.862+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090405150219.parquet -> /tmp/minio_downloads/customers_090405150219.parquet
[2026-08-05T08:42:11.880+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090405196488.parquet -> /tmp/minio_downloads/customers_090405196488.parquet
[2026-08-05T08:42:11.896+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090405243111.parquet -> /tmp/minio_downloads/customers_090405243111.parquet
[2026-08-05T08:42:11.913+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090405289533.parquet -> /tmp/minio_downloads/customers_090405289533.parquet
[2026-08-05T08:42:11.928+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090405335259.parquet -> /tmp/minio_downloads/customers_090405335259.parquet
[2026-08-05T08:42:11.944+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090405383930.parquet -> /tmp/minio_downloads/customers_090405383930.parquet
[2026-08-05T08:42:11.959+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090405425934.parquet -> /tmp/minio_downloads/customers_090405425934.parquet
[2026-08-05T08:42:11.975+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090405469859.parquet -> /tmp/minio_downloads/customers_090405469859.parquet
[2026-08-05T08:42:11.993+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090405511786.parquet -> /tmp/minio_downloads/customers_090405511786.parquet
[2026-08-05T08:42:12.015+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090405562635.parquet -> /tmp/minio_downloads/customers_090405562635.parquet
[2026-08-05T08:42:12.032+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090405606410.parquet -> /tmp/minio_downloads/customers_090405606410.parquet
[2026-08-05T08:42:12.047+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090405651960.parquet -> /tmp/minio_downloads/customers_090405651960.parquet
[2026-08-05T08:42:12.063+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090405695356.parquet -> /tmp/minio_downloads/customers_090405695356.parquet
[2026-08-05T08:42:12.078+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090405739251.parquet -> /tmp/minio_downloads/customers_090405739251.parquet
[2026-08-05T08:42:12.092+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090405796269.parquet -> /tmp/minio_downloads/customers_090405796269.parquet
[2026-08-05T08:42:12.107+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090405841506.parquet -> /tmp/minio_downloads/customers_090405841506.parquet
[2026-08-05T08:42:12.123+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090405899071.parquet -> /tmp/minio_downloads/customers_090405899071.parquet
[2026-08-05T08:42:12.138+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090405946991.parquet -> /tmp/minio_downloads/customers_090405946991.parquet
[2026-08-05T08:42:12.611+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-07-27/accounts_090335091997.parquet -> /tmp/minio_downloads/accounts_090335091997.parquet
[2026-08-05T08:42:12.625+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-07-27/accounts_090335176229.parquet -> /tmp/minio_downloads/accounts_090335176229.parquet
[2026-08-05T08:42:12.638+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-07-27/accounts_090335225617.parquet -> /tmp/minio_downloads/accounts_090335225617.parquet
[2026-08-05T08:42:12.652+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-07-27/accounts_090335282589.parquet -> /tmp/minio_downloads/accounts_090335282589.parquet
[2026-08-05T08:42:12.666+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-07-27/accounts_090335330376.parquet -> /tmp/minio_downloads/accounts_090335330376.parquet
[2026-08-05T08:42:12.680+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-07-27/accounts_090335387463.parquet -> /tmp/minio_downloads/accounts_090335387463.parquet
[2026-08-05T08:42:12.802+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-07-27/accounts_090335440093.parquet -> /tmp/minio_downloads/accounts_090335440093.parquet
[2026-08-05T08:42:12.936+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-07-27/accounts_090335487667.parquet -> /tmp/minio_downloads/accounts_090335487667.parquet
[2026-08-05T08:42:12.950+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-07-27/accounts_090335532736.parquet -> /tmp/minio_downloads/accounts_090335532736.parquet
[2026-08-05T08:42:13.043+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-07-27/accounts_090335590697.parquet -> /tmp/minio_downloads/accounts_090335590697.parquet
[2026-08-05T08:42:13.248+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-07-27/accounts_090335653590.parquet -> /tmp/minio_downloads/accounts_090335653590.parquet
[2026-08-05T08:42:13.270+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-07-27/accounts_090335716922.parquet -> /tmp/minio_downloads/accounts_090335716922.parquet
[2026-08-05T08:42:13.317+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-07-27/accounts_090335792915.parquet -> /tmp/minio_downloads/accounts_090335792915.parquet
[2026-08-05T08:42:13.332+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-07-27/accounts_090335849416.parquet -> /tmp/minio_downloads/accounts_090335849416.parquet
[2026-08-05T08:42:13.347+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-07-27/accounts_090335918492.parquet -> /tmp/minio_downloads/accounts_090335918492.parquet
[2026-08-05T08:42:13.361+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-07-27/accounts_090336083229.parquet -> /tmp/minio_downloads/accounts_090336083229.parquet
[2026-08-05T08:42:13.375+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-07-27/accounts_090336168129.parquet -> /tmp/minio_downloads/accounts_090336168129.parquet
[2026-08-05T08:42:13.389+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-07-27/accounts_090336236734.parquet -> /tmp/minio_downloads/accounts_090336236734.parquet
[2026-08-05T08:42:13.405+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-07-27/accounts_090336310038.parquet -> /tmp/minio_downloads/accounts_090336310038.parquet
[2026-08-05T08:42:13.422+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-07-27/accounts_090336375803.parquet -> /tmp/minio_downloads/accounts_090336375803.parquet
[2026-08-05T08:42:13.437+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-07-27/accounts_090336437610.parquet -> /tmp/minio_downloads/accounts_090336437610.parquet
[2026-08-05T08:42:13.451+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-07-27/accounts_090336509130.parquet -> /tmp/minio_downloads/accounts_090336509130.parquet
[2026-08-05T08:42:13.466+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-07-27/accounts_090336561573.parquet -> /tmp/minio_downloads/accounts_090336561573.parquet
[2026-08-05T08:42:13.523+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-07-27/accounts_090336619969.parquet -> /tmp/minio_downloads/accounts_090336619969.parquet
[2026-08-05T08:42:13.538+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-07-27/accounts_090336705658.parquet -> /tmp/minio_downloads/accounts_090336705658.parquet
[2026-08-05T08:42:13.551+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-07-27/accounts_090336825221.parquet -> /tmp/minio_downloads/accounts_090336825221.parquet
[2026-08-05T08:42:13.565+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-07-27/accounts_090336934222.parquet -> /tmp/minio_downloads/accounts_090336934222.parquet
[2026-08-05T08:42:13.579+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-07-27/accounts_090336997264.parquet -> /tmp/minio_downloads/accounts_090336997264.parquet
[2026-08-05T08:42:13.593+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-07-27/accounts_090337048145.parquet -> /tmp/minio_downloads/accounts_090337048145.parquet
[2026-08-05T08:42:13.608+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-07-27/accounts_090337100657.parquet -> /tmp/minio_downloads/accounts_090337100657.parquet
[2026-08-05T08:42:13.623+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-07-27/accounts_090337167701.parquet -> /tmp/minio_downloads/accounts_090337167701.parquet
[2026-08-05T08:42:13.639+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-07-27/accounts_090337230404.parquet -> /tmp/minio_downloads/accounts_090337230404.parquet
[2026-08-05T08:42:13.652+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-07-27/accounts_090337287200.parquet -> /tmp/minio_downloads/accounts_090337287200.parquet
[2026-08-05T08:42:13.668+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-07-27/accounts_090337352500.parquet -> /tmp/minio_downloads/accounts_090337352500.parquet
[2026-08-05T08:42:13.683+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-07-27/accounts_090337409970.parquet -> /tmp/minio_downloads/accounts_090337409970.parquet
[2026-08-05T08:42:13.698+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-07-27/accounts_090337468206.parquet -> /tmp/minio_downloads/accounts_090337468206.parquet
[2026-08-05T08:42:13.711+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-07-27/accounts_090337522740.parquet -> /tmp/minio_downloads/accounts_090337522740.parquet
[2026-08-05T08:42:13.726+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-07-27/accounts_090337569811.parquet -> /tmp/minio_downloads/accounts_090337569811.parquet
[2026-08-05T08:42:13.773+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-07-27/accounts_090337620416.parquet -> /tmp/minio_downloads/accounts_090337620416.parquet
[2026-08-05T08:42:13.790+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-07-27/accounts_090337676744.parquet -> /tmp/minio_downloads/accounts_090337676744.parquet
[2026-08-05T08:42:13.806+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-07-27/accounts_090337733973.parquet -> /tmp/minio_downloads/accounts_090337733973.parquet
[2026-08-05T08:42:13.823+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-07-27/accounts_090337779357.parquet -> /tmp/minio_downloads/accounts_090337779357.parquet
[2026-08-05T08:42:13.839+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-07-27/accounts_090337830813.parquet -> /tmp/minio_downloads/accounts_090337830813.parquet
[2026-08-05T08:42:13.855+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-07-27/accounts_090337876213.parquet -> /tmp/minio_downloads/accounts_090337876213.parquet
[2026-08-05T08:42:13.871+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-07-27/accounts_090337924905.parquet -> /tmp/minio_downloads/accounts_090337924905.parquet
[2026-08-05T08:42:13.887+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-07-27/accounts_090337972586.parquet -> /tmp/minio_downloads/accounts_090337972586.parquet
[2026-08-05T08:42:13.905+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-07-27/accounts_090338036313.parquet -> /tmp/minio_downloads/accounts_090338036313.parquet
[2026-08-05T08:42:13.922+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-07-27/accounts_090338087498.parquet -> /tmp/minio_downloads/accounts_090338087498.parquet
[2026-08-05T08:42:13.938+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-07-27/accounts_090338169836.parquet -> /tmp/minio_downloads/accounts_090338169836.parquet
[2026-08-05T08:42:13.956+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-07-27/accounts_090338285836.parquet -> /tmp/minio_downloads/accounts_090338285836.parquet
[2026-08-05T08:42:13.970+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-07-27/accounts_090338348416.parquet -> /tmp/minio_downloads/accounts_090338348416.parquet
[2026-08-05T08:42:13.986+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-07-27/accounts_090338411783.parquet -> /tmp/minio_downloads/accounts_090338411783.parquet
[2026-08-05T08:42:14.000+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-07-27/accounts_090338473298.parquet -> /tmp/minio_downloads/accounts_090338473298.parquet
[2026-08-05T08:42:14.014+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-07-27/accounts_090338539756.parquet -> /tmp/minio_downloads/accounts_090338539756.parquet
[2026-08-05T08:42:14.028+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-07-27/accounts_090338595444.parquet -> /tmp/minio_downloads/accounts_090338595444.parquet
[2026-08-05T08:42:14.041+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-07-27/accounts_090338653969.parquet -> /tmp/minio_downloads/accounts_090338653969.parquet
[2026-08-05T08:42:14.055+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-07-27/accounts_090338722877.parquet -> /tmp/minio_downloads/accounts_090338722877.parquet
[2026-08-05T08:42:14.069+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-07-27/accounts_090338784168.parquet -> /tmp/minio_downloads/accounts_090338784168.parquet
[2026-08-05T08:42:14.083+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-07-27/accounts_090338833026.parquet -> /tmp/minio_downloads/accounts_090338833026.parquet
[2026-08-05T08:42:14.096+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-07-27/accounts_090338879214.parquet -> /tmp/minio_downloads/accounts_090338879214.parquet
