[2026-08-05T08:31:40.283+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-08-05T08:31:41.905+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090403894193.parquet -> /tmp/minio_downloads/customers_090403894193.parquet
[2026-08-05T08:31:41.920+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090403939509.parquet -> /tmp/minio_downloads/customers_090403939509.parquet
[2026-08-05T08:31:41.935+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090403987646.parquet -> /tmp/minio_downloads/customers_090403987646.parquet
[2026-08-05T08:31:41.951+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090404049607.parquet -> /tmp/minio_downloads/customers_090404049607.parquet
[2026-08-05T08:31:41.987+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090404098181.parquet -> /tmp/minio_downloads/customers_090404098181.parquet
[2026-08-05T08:31:42.002+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090404171962.parquet -> /tmp/minio_downloads/customers_090404171962.parquet
[2026-08-05T08:31:42.016+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090404227529.parquet -> /tmp/minio_downloads/customers_090404227529.parquet
[2026-08-05T08:31:42.029+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090404283728.parquet -> /tmp/minio_downloads/customers_090404283728.parquet
[2026-08-05T08:31:42.042+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090404337621.parquet -> /tmp/minio_downloads/customers_090404337621.parquet
[2026-08-05T08:31:42.109+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090404397305.parquet -> /tmp/minio_downloads/customers_090404397305.parquet
[2026-08-05T08:31:42.128+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090404443612.parquet -> /tmp/minio_downloads/customers_090404443612.parquet
[2026-08-05T08:31:42.146+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090404503420.parquet -> /tmp/minio_downloads/customers_090404503420.parquet
[2026-08-05T08:31:42.162+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090404569754.parquet -> /tmp/minio_downloads/customers_090404569754.parquet
[2026-08-05T08:31:42.177+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090404616505.parquet -> /tmp/minio_downloads/customers_090404616505.parquet
[2026-08-05T08:31:42.192+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090404676784.parquet -> /tmp/minio_downloads/customers_090404676784.parquet
[2026-08-05T08:31:42.206+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090404719565.parquet -> /tmp/minio_downloads/customers_090404719565.parquet
[2026-08-05T08:31:42.220+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090404776580.parquet -> /tmp/minio_downloads/customers_090404776580.parquet
[2026-08-05T08:31:42.233+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090404821131.parquet -> /tmp/minio_downloads/customers_090404821131.parquet
[2026-08-05T08:31:42.247+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090404867684.parquet -> /tmp/minio_downloads/customers_090404867684.parquet
[2026-08-05T08:31:42.305+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090404914078.parquet -> /tmp/minio_downloads/customers_090404914078.parquet
[2026-08-05T08:31:42.326+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090404956516.parquet -> /tmp/minio_downloads/customers_090404956516.parquet
[2026-08-05T08:31:42.341+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090405003694.parquet -> /tmp/minio_downloads/customers_090405003694.parquet
[2026-08-05T08:31:42.355+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090405050878.parquet -> /tmp/minio_downloads/customers_090405050878.parquet
[2026-08-05T08:31:42.369+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090405103797.parquet -> /tmp/minio_downloads/customers_090405103797.parquet
[2026-08-05T08:31:42.386+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090405150219.parquet -> /tmp/minio_downloads/customers_090405150219.parquet
[2026-08-05T08:31:42.403+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090405196488.parquet -> /tmp/minio_downloads/customers_090405196488.parquet
